Země;Množství;Měna;Změna;Nákup;Prodej;Střed;Nákup;Prodej;Střed
Austrálie;1;AUD;-0.4;15.942;16.828;16.385;0.000;0.000;0.000
Čína;1;CNY;-0.1;3.132;3.532;3.332;0.000;0.000;0.000
Dánsko;1;DKK;0.3;3.477;3.670;3.574;3.477;3.670;3.574
EMS;1;EUR;0.3;25.926;27.359;26.643;25.926;27.359;26.643
Chorvatsko;1;HRK;0.4;3.423;3.613;3.518;0.000;0.000;0.000
Japonsko;100;JPY;-0.1;21.222;22.404;21.813;0.000;0.000;0.000
Kanada;1;CAD;0.1;17.100;18.050;17.575;0.000;0.000;0.000
Maďarsko;100;HUF;0.2;7.498;7.930;7.714;0.000;0.000;0.000
Norsko;1;NOK;0.2;2.433;2.571;2.502;2.433;2.571;2.502
Polsko;1;PLN;-0.5;5.868;6.208;6.038;0.000;0.000;0.000
Rumunsko;1;RON;0.3;5.358;5.676;5.517;0.000;0.000;0.000
Rusko;100;RUB;0.5;32.568;36.791;34.679;0.000;0.000;0.000
Švédsko;1;SEK;0;2.481;2.621;2.551;2.481;2.621;2.551
Švýcarsko;1;CHF;0.1;24.068;25.356;24.712;24.068;25.356;24.712
Turecko;1;TRY;-0.4;3.310;3.740;3.525;0.000;0.000;0.000
USA;1;USD;0.1;23.112;24.393;23.753;23.112;24.393;23.753
Velká Británie;1;GBP;-0.2;28.977;30.590;29.783;28.977;30.590;29.783
